priority,domain,proxy_domain,category,subcategory,reason
1,aiauditing.co.uk,aiauditing.com,business-services,audits,block business-services/audits n=32 appraised=0 deficit=3
2,staffaudits.co.uk,staffaudits.com,business-services,audits,block business-services/audits n=32 appraised=0 deficit=3
3,teamaudits.co.uk,teamaudits.com,business-services,audits,block business-services/audits n=32 appraised=0 deficit=3
4,cataloguevideo.co.uk,cataloguevideo.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
5,cataloguevideos.co.uk,cataloguevideos.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
6,livecoverage.co.uk,livecoverage.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
7,parsonsfilms.co.uk,parsonsfilms.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
8,skyvision.co.uk,skyvision.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
9,videocatalogue.co.uk,videocatalogue.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
10,videocatalogues.co.uk,videocatalogues.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
11,videopr.co.uk,videopr.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
12,vidlets.co.uk,vidlets.com,web-digital,video,block web-digital/video n=19 appraised=0 deficit=3
13,ileeds.co.uk,ileeds.com,names-places,geographic,block names-places/geographic n=18 appraised=0 deficit=3
14,londonlocal.co.uk,londonlocal.com,names-places,geographic,block names-places/geographic n=18 appraised=0 deficit=3
15,audiobrochure.co.uk,audiobrochure.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
16,hospitalityprinting.co.uk,hospitalityprinting.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
17,hotfoilstamping.co.uk,hotfoilstamping.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
18,identicards.co.uk,identicards.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
19,laminationfilm.co.uk,laminationfilm.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
20,printleaflets.co.uk,printleaflets.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
21,southernprints.co.uk,southernprints.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
22,sublimationprinting.co.uk,sublimationprinting.com,packaging-print,print-services,block packaging-print/print-services n=17 appraised=0 deficit=3
23,acoustic-guitar.co.uk,acoustic-guitar.com,music,instruments,block music/instruments n=12 appraised=0 deficit=3
24,guitalele.co.uk,guitalele.com,music,instruments,block music/instruments n=12 appraised=0 deficit=3
25,internetmusicshop.co.uk,internetmusicshop.com,music,instruments,block music/instruments n=12 appraised=0 deficit=3
26,imagedirectory.co.uk,imagedirectory.com,web-digital,photography,block web-digital/photography n=9 appraised=0 deficit=3
27,photorestoration.co.uk,photorestoration.com,web-digital,photography,block web-digital/photography n=9 appraised=0 deficit=3
28,surfcentre.co.uk,surfcentre.com,sports-leisure,watersports,block sports-leisure/watersports n=8 appraised=0 deficit=3
29,adcopywriting.co.uk,adcopywriting.com,web-digital,content,block web-digital/content n=6 appraised=0 deficit=3
30,anne-marie.co.uk,anne-marie.com,names-places,personal,block names-places/personal n=6 appraised=0 deficit=3
31,contentresearch.co.uk,contentresearch.com,web-digital,content,block web-digital/content n=6 appraised=0 deficit=3
32,golfanalysis.co.uk,golfanalysis.com,sports-leisure,golf,block sports-leisure/golf n=6 appraised=0 deficit=3
33,golfclubsforsale.co.uk,golfclubsforsale.com,sports-leisure,golf,block sports-leisure/golf n=6 appraised=0 deficit=3
34,golfgames.co.uk,golfgames.com,sports-leisure,golf,block sports-leisure/golf n=6 appraised=0 deficit=3
35,golfputters.co.uk,golfputters.com,sports-leisure,golf,block sports-leisure/golf n=6 appraised=0 deficit=3
36,golfsimhire.co.uk,golfsimhire.com,sports-leisure,golf,block sports-leisure/golf n=6 appraised=0 deficit=3
37,writey.co.uk,writey.com,web-digital,content,block web-digital/content n=6 appraised=0 deficit=3
38,legaldomain.co.uk,legaldomain.com,legal,general,block legal/general n=5 appraised=0 deficit=3
39,shippingcontainerstorage.co.uk,shippingcontainerstorage.com,industrial-equipment,storage-handling,block industrial-equipment/storage-handling n=5 appraised=0 deficit=3
40,appmusic.co.uk,appmusic.com,music,general,block music/general n=4 appraised=0 deficit=3
41,banquethall.co.uk,banquethall.com,events-exhibitions,general,block events-exhibitions/general n=4 appraised=0 deficit=3
42,bodycream.co.uk,bodycream.com,beauty-personal-care,skincare,block beauty-personal-care/skincare n=4 appraised=0 deficit=3
43,bodylotions.co.uk,bodylotions.com,beauty-personal-care,skincare,block beauty-personal-care/skincare n=4 appraised=0 deficit=3
44,bridalplanner.co.uk,bridalplanner.com,events-exhibitions,general,block events-exhibitions/general n=4 appraised=0 deficit=3
45,campingequipment.co.uk,campingequipment.com,sports-leisure,outdoors,block sports-leisure/outdoors n=4 appraised=0 deficit=3
46,cheapestparking.co.uk,cheapestparking.com,transport-parking,parking,block transport-parking/parking n=4 appraised=0 deficit=3
47,facepack.co.uk,facepack.com,beauty-personal-care,skincare,block beauty-personal-care/skincare n=4 appraised=0 deficit=3
48,hcare.co.uk,hcare.com,health-medical,care,block health-medical/care n=4 appraised=0 deficit=3
49,industrialrefurbishment.co.uk,industrialrefurbishment.com,business-services,engineering,block business-services/engineering n=4 appraised=0 deficit=3
50,konichiwa.co.uk,konichiwa.com,foreign-language,japanese,block foreign-language/japanese n=4 appraised=0 deficit=3
51,lutonparking.co.uk,lutonparking.com,transport-parking,parking,block transport-parking/parking n=4 appraised=0 deficit=3
52,mountainclimbing.co.uk,mountainclimbing.com,sports-leisure,outdoors,block sports-leisure/outdoors n=4 appraised=0 deficit=3
53,onlineguitar.co.uk,onlineguitar.com,music,general,block music/general n=4 appraised=0 deficit=3
54,wholesalewine.co.uk,wholesalewine.com,food-drink,wine,block food-drink/wine n=4 appraised=0 deficit=3
55,xmasparty.co.uk,xmasparty.com,events-exhibitions,general,block events-exhibitions/general n=4 appraised=0 deficit=3
56,alternativepower.co.uk,alternativepower.com,energy-utilities,renewables,block energy-utilities/renewables n=3 appraised=0 deficit=3
57,datingevenings.co.uk,datingevenings.com,dating,general,block dating/general n=3 appraised=0 deficit=3
58,horsebets.co.uk,horsebets.com,sports-leisure,betting,block sports-leisure/betting n=3 appraised=0 deficit=3
59,inflatablepubhire.co.uk,inflatablepubhire.com,events-exhibitions,hire,block events-exhibitions/hire n=3 appraised=0 deficit=3
60,meetfemales.co.uk,meetfemales.com,dating,general,block dating/general n=3 appraised=0 deficit=3
61,miniwindturbines.co.uk,miniwindturbines.com,energy-utilities,renewables,block energy-utilities/renewables n=3 appraised=0 deficit=3
62,sailmaking.co.uk,sailmaking.com,marine,services,block marine/services n=3 appraised=0 deficit=3
63,tennisbetting.co.uk,tennisbetting.com,sports-leisure,betting,block sports-leisure/betting n=3 appraised=0 deficit=3
64,yachtcentre.co.uk,yachtcentre.com,marine,general,block marine/general n=3 appraised=0 deficit=3
65,3dviewers.co.uk,3dviewers.com,ai-tech,software,block ai-tech/software n=40 appraised=1 deficit=2
66,anttrack.co.uk,anttrack.com,ai-tech,software,block ai-tech/software n=40 appraised=1 deficit=2
67,argumentmap.co.uk,argumentmap.com,ai-tech,software,block ai-tech/software n=40 appraised=1 deficit=2
68,bigdata.org.uk,bigdata.com,ai-tech,software,block ai-tech/software n=40 appraised=1 deficit=2
69,personalizer.co.uk,personalizer.com,ai-tech,software,block ai-tech/software n=40 appraised=1 deficit=2
70,replyemail.co.uk,replyemail.com,ai-tech,software,block ai-tech/software n=40 appraised=1 deficit=2
71,crms.co.uk,crms.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
72,ct4m.co.uk,ct4m.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
73,dmns.co.uk,dmns.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
74,eqpt.co.uk,eqpt.com,brandable-short,4-char,block brandable-short/4-char n=32 appraised=1 deficit=2
